Name,ID,State,Network,County,Elevation_ft,Latitude,Longitude,HUC,Date_of_Data,Date_Report_Created,Value_inches,Percent_NRCS_1981_2010_Average,Percent_NRCS_1981_2010_Median,Percent_of_POR_Average,Percent_of_POR_Median,Percent_of_Water_Year_Peak,Percent_of_Average_Water_Year_Peak_POR,Percent_of_Median_Water_Year_Peak_POR,POR_Median_Departure_inches,Percentile_POR,Maximum_Rank_POR,Minimum_Rank_POR,Records_POR,NRCS_1981_2010_Average_inches,NRCS_1981_2010_Median_inches,POR_Average_inches,POR_Median_inches,Minimum_POR_inches,Maximum_POR_inches,Year_of_Minimum_POR,Year_of_Maximum_POR,Number_of_Observations_POR
Santiam Jct.,"733	",Oregon,SNOTEL,Linn,3740,44.43503,-121.94502,"170900040201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.75,0,0,5,"2016, 2018, 2019, more",2013,16
Sargents Mesa,"1128	",Colorado,SNOTEL,Saguache,11530,38.28555,-106.37069,"130100040306	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,30,33,17,2,2,-2,33,9,4,,,,3.31,3,0,10,"2008, 2012, 2016",2009,13
Sasse Ridge,"734	",Washington,SNOTEL,Kittitas,4340,47.38485,-121.06323,"170300010104	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.58,0,0,18,"2016, 2018, 2019, more",2005,19
Satus Pass,"1231	",Washington,SNOTEL,Klickitat,3960,45.98797,-120.67734,"170701060301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0,0,0,0,"2017, 2018, 2019, more","2017, 2018, 2019, more",8
Savage Pass,"735	",Idaho,SNOTEL,Idaho,6190,46.46633,-114.63333,"170603030208	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",8,,,143,160,67,10,10,3,68,7,14,,,,5.6,5,0,12,2016,"2004, 2017",20
Sawmill Ridge,"1068	",Washington,SNOTEL,King,4640,47.15992,-121.42172,"171100130104	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.86,0,0,5,"2016, 2018, 2019, more","2013, 2017",14
Sawtooth,"1251	",Colorado,SNOTEL,Boulder,9620,40.13697,-105.58625,"101900050102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,36,100,30,4,4,0,50,4,3,,,,8.43,3,0,28,2016,2018,7
Schneider Meadows,"736	",Oregon,SNOTEL,Baker,5400,45.00107,-117.16522,"170502010603	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,57,10,1,Lowest,,,1.45,0,0,11,"2017, 2018, 2020, more",2005,22
Schofield Pass,"737	",Colorado,SNOTEL,Gunnison,10700,39.01522,-107.04877,"140100040701	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,9.52,9,1,27,"2003, 2016",2002,23
Schwartz Lake,"915	",Idaho,SNOTEL,Lemhi,8630,44.84618,-113.83732,"170602040604	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-2,10,10,1,Lowest,,,3.36,2,0,9,"2016, 2020",2017,11
Schweitzer Basin,"738	",Idaho,SNOTEL,Bonner,6090,48.37428,-116.63917,"170102150502	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,40,43,38,2,2,-4,30,15,7,,,,7.43,7,0,23,"2008, 2014, 2015",2004,21
Scotch Creek,"739	",Colorado,SNOTEL,Dolores,9100,37.64556,-108.00786,"140300020204	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,63,8,1,Lowest,,,0.6,0,0,4,"2018, 2019, 2020, more",2000,20
Secesh Summit,"740	",Idaho,SNOTEL,Valley,6540,45.18848,-115.97152,"170501230101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,33,100,100,1,1,0,53,9,6,,,,3,1,0,13,"2012, 2015, 2016, more",2005,18
Sedgwick Peak,"741	",Idaho,SNOTEL,Bannock,7850,42.52497,-111.95635,"170402080209	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,3.25,3,1,6,"2016, 2018",2019,4
Seeley Creek,"742	",Utah,SNOTEL,Sanpete,9904,39.31042,-111.43297,"140600090203	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,2.55,0,0,15,"2017, 2018, 2019, more",2004,20
Seine Creek,"743	",Oregon,SNOTEL,Washington,2060,45.52688,-123.29857,"170900100203	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.1,0,0,1,"2017, 2018, 2019, more","2000, 2009",20
Senorita Divide #2,"744	",New Mexico,SNOTEL,Rio Arriba,8600,36.00198,-106.83348,"130202020102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,600,,27,10,9,3,100,1,20,Highest,,,0.5,0,0,3,"2017, 2018, 2019, more",2020,20
Sentinel Butte,"1043	",Washington,SNOTEL,Ferry,4680,48.86133,-118.39843,"170200021705	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,97,133,29,5,5,0.5,71,6,10,,,,2.06,1.5,0,8,"2015, 2016, 2018, more","2005, 2017",18
Sevenmile Marsh,"745	",Oregon,SNOTEL,Klamath,5700,42.69825,-122.14165,"180102030104	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.71,0,0,11,"2016, 2018, 2019, more",2008,14
Seventysix Creek,"746	",Nevada,SNOTEL,Elko,7350,41.73732,-115.47215,"170501020108	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,122,,50,3,3,1,81,5,18,,,,0.82,0,0,10,"2017, 2018, 2019, more",2015,22
Shanghi Summit,"747	",Idaho,SNOTEL,Clearwater,4600,46.56603,-115.74216,"170603060402	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,57,10,1,Lowest,,,1.32,0,0,7,"2016, 2018, 2020, more","2002, 2003",22
Sharkstooth,"1060	",Colorado,SNOTEL,Montezuma,10720,37.50357,-108.11373,"140300020206	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,50,8,1,Lowest,,,3.07,0,0,13,"2018, 2019, 2020, more",2004,15
Shedin Creek,"4B16P	",British Columbia,Cooperator Snow Sensors,"	",4331,55.85,-127.68333,"	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",9,,,53,60,20,10,9,-6,32,16,8,,,,17.09,15,1,49,2013,2004,23
Sheep Canyon,"748	",Washington,SNOTEL,Cowlitz,3990,46.19325,-122.25393,"170800050601	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.93,0,0,16,"2016, 2018, 2019, more",2005,15
Sheep Mtn.,"749	",Idaho,SNOTEL,Bingham,6650,43.2103,-111.68792,"170402050304	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.44,0,0,2,"2015, 2016, 2017, more",2013,9
Sheldon,"750	",Nevada,SNOTEL,Washoe,5865,41.90435,-119.44464,"171200080106	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,89,3,1,Lowest,,,0.2,0,0,3,"2018, 2019, 2020, more",2014,20
Shell Creek,"751	",Wyoming,SNOTEL,Big Horn,9580,44.50012,-107.42947,"100800100101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",15,,,104,97,63,22,22,-0.5,47,10,9,,,,14.39,15.5,0,30,2014,2017,18
Sherman Valley AM,"1219	",Oregon,SNOLITE,Lake,6630,42.3572,-120.22522,"171200070401	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.88,0,0,5,"2016, 2018, 2019, more",2017,8
Sherwin,"752	",Idaho,SNOTEL,Latah,3200,46.95028,-116.33972,"170103040703	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,83,2,1,Lowest,,,0.14,0,0,1,"2018, 2019, 2020, more",2017,7
Short Creek,"753	",Montana,SNOTEL,Madison,7000,44.97572,-111.95215,"100200030106	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-0.5,47,10,1,Lowest,,,1.83,0.5,0,8,"2016, 2018, 2020, more",2015,18
Shower Falls,"754	",Montana,SNOTEL,Gallatin,8100,45.40125,-110.95758,"100200081001	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",15,,,103,107,75,17,17,1,61,8,11,,,,14.58,14,2,35,2014,2017,19
Shuree,"1169	",New Mexico,SNOTEL,Colfax,10100,36.78778,-105.23999,"130201010102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,122,,7,4,3,1,80,3,7,,,,0.82,0,0,4,"2015, 2016, 2017, more",2018,11
Sierra Blanca,"1034	",New Mexico,SNOTEL,Lincoln,10280,33.40472,-105.78722,"130600080103	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,71,6,1,Lowest,,,1.39,0,0,13,"2017, 2019, 2020, more",2009,18
Signal Peak,"755	",New Mexico,SNOTEL,Grant,8360,32.92401,-108.14538,"150400010803	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,,,0,0,0,0,100,1,1,,,,0,0,0,0,"2018, 2019, 2020, more","2018, 2019, 2020, more",17
Silver Creek,"756	",Oregon,SNOTEL,Lake,5740,42.95615,-121.18123,"171200050206	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.06,0,0,1,"2017, 2018, 2019, more",2008,18
Silver Creek Divide,"757	",New Mexico,SNOTEL,Catron,9000,33.37106,-108.70618,"150400040605	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,78,5,1,Lowest,,,0.32,0,0,3,"2017, 2019, 2020, more",2004,19
Silver Creek Nv,"1205	",Nevada,SNOTEL,White Pine,8200,39.23305,-114.2429,"160203010806	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.25,0,0,2,"2017, 2018, 2019, more",2014,8
Silvies,"759	",Oregon,SNOTEL,Harney,6990,42.75333,-118.68785,"171200030201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.67,0,0,11,"2016, 2018, 2019, more",2004,21
Skalkaho Summit,"760	",Montana,SNOTEL,Granite,7250,46.24212,-113.7725,"170102021003	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",6,,,120,120,46,8,8,1,67,7,12,,,,5,5,0,11,2008,2015,19
Skate Creek,"1257	",Washington,SNOTEL,Lewis,3770,46.64336,-121.83044,"170800040505	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.5,0,0,3,"2016, 2018, 2019, more",2017,6
Skookum Creek,"912	",Washington,SNOTEL,King,3310,47.68433,-121.61007,"171100100503	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,71,6,1,Lowest,,,0.94,0,0,5,"2018, 2019, 2020, more",2013,18
Slagamelt Lakes,"1286	",Montana,SNOTEL,Beaverhead,8620,45.36526,-113.71834,"100200040308	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",7,,,100,100,70,,,0,,1,1,,,,7,7,7,7,2020,2020,1
Sleeping Woman,"783	",Montana,SNOTEL,Sanders,6150,47.17902,-114.33368,"170102120708	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,90,100,23,5,5,0,50,10,9,,,,3.32,3,0,10,"2012, 2016, 2018, more","2003, 2017",19
Slug Creek Divide,"761	",Idaho,SNOTEL,Caribou,7225,42.56248,-111.29797,"170402070201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-1,44,11,1,Lowest,,,1.32,1,0,7,"2016, 2018, 2020, more",2019,19
Slumgullion,"762	",Colorado,SNOTEL,Hinsdale,11560,37.9908,-107.20327,"140200020502	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,26,27,40,3,3,-5.5,12,16,3,,,,7.78,7.5,0,17,2016,2004,18
Smiley Mountain,"926	",Idaho,SNOTEL,Custer,9520,43.72718,-113.83402,"170402180102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-8,5,19,1,Lowest,,,8.9,8,0,20,"2018, 2020","2004, 2013",20
Smith  Morehouse,"763	",Utah,SNOTEL,Summit,7631,40.78931,-111.09192,"160201010203	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,61,10,1,Lowest,,,1.83,0,0,12,"2017, 2018, 2020, more",2003,24
Smith Creek,"1235	",Nevada,SNOLITE,Elko,7588,40.4467,-115.5114,"160401030403	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,2.43,0,0,12,"2017, 2018, 2019, more",2015,7
Smith Ridge,"1167	",Oregon,SNOTEL,Linn,3270,44.30325,-122.04053,"170900040203	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0,0,0,0,"2017, 2018, 2019, more","2017, 2018, 2019, more",8
Snake River Station,"764	",Wyoming,SNOTEL,Teton,6920,44.13361,-110.66917,"170401010402	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,2.19,2,0,7,"2011, 2014, 2016, more",2013,16
Snider Basin,"765	",Wyoming,SNOTEL,Sublette,8060,42.4949,-110.53203,"140401010906	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-1,28,14,1,Lowest,,,2.68,1,0,12,"2015, 2016, 2020, more",2004,19
Snow Mountain,"767	",Oregon,SNOTEL,Harney,6230,43.94885,-119.54013,"171200020501	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.13,0,0,7,"2016, 2018, 2019, more",2004,16
Snowbird,"766	",Utah,SNOTEL,Salt Lake,9177,40.56914,-111.65852,"160202040202	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-5,0,19,1,Lowest,,,8.11,5,0,49,2020,2004,19
Snowslide Canyon,"927	",Arizona,SNOTEL,Coconino,9730,35.3416,-111.65058,"150200160201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,3.3,1,0,20,"2012, 2016, 2017, more",2000,23
Snowstorm Mtn,"1208	",Nevada,SNOTEL,Elko,7403,41.33981,-116.98044,"160401090203	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,3.38,0,0,12,"2017, 2018, 2019, more",2015,8
Soldier Park,"1132	",Wyoming,SNOTEL,Johnson,8720,44.34847,-107.0136,"100902060103	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",6,,,183,600,55,16,18,5,70,4,8,,,,3.27,1,0,9,"2014, 2015, 2016, more",2013,11
Soldier R.S.,"769	",Idaho,SNOTEL,Camas,5740,43.48407,-114.82692,"170402200303	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,76,6,1,Lowest,,,0.64,0,0,6,"2017, 2018, 2020, more",2005,22
Somsen Ranch,"770	",Idaho,SNOTEL,Caribou,6800,42.95275,-111.35933,"170402070101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,53,8,1,Lowest,,,0.81,0,0,4,"2014, 2016, 2020, more",2019,16
Sonora Pass,"771	",California,SNOTEL,Mono,8770,38.31021,-119.6003,"160503020104	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-1,45,13,1,Lowest,,,3.52,1,0,33,"2018, 2019, 2020, more",2004,23
Sourdough Gulch,"985	",Washington,SNOTEL,Asotin,4000,46.23718,-117.39438,"170601030202	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,80,5,1,Lowest,,,0.29,0,0,2,"2017, 2018, 2020, more","2011, 2019",21
South Brush Creek,"772	",Wyoming,SNOTEL,Carbon,8440,41.32943,-106.50248,"101800020303	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",4,,,94,133,40,5,9,1,71,6,13,,,,4.28,3,0,17,"2005, 2015, 2016",2003,18
South Colony,"773	",Colorado,SNOTEL,Custer,10800,37.96811,-105.53787,"110200011206	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",11,,,130,138,69,11,15,3,65,7,12,,,,8.44,8,0,21,"2012, 2016",2011,18
South Fork Bull Run,"925	",Oregon,SNOTEL,Clackamas,2690,45.44575,-122.03125,"170800010504	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0,0,0,0,"2017, 2018, 2019, more","2017, 2018, 2019, more",23
South Mtn.,"774	",Idaho,SNOTEL,Owyhee,6500,42.76478,-116.90037,"170501080205	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,88,,100,2,2,1,73,7,15,,,,1.13,0,0,7,"2016, 2018, 2019, more",2004,23
South Pass,"775	",Wyoming,SNOTEL,Fremont,9040,42.57317,-108.84325,"100800030101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,6.18,4,0,21,"2005, 2007, 2016",2004,17
Spencer Meadow,"776	",Washington,SNOTEL,Skamania,3400,46.1795,-121.92661,"170800020108	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,86,3,1,Lowest,,,0.27,0,0,3,"2018, 2019, 2020, more",2017,15
Spirit Lake,"777	",Washington,SNOTEL,Skamania,3520,46.26113,-122.1772,"170800050502	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.36,0,0,3,"2016, 2018, 2019, more",2005,14
Spirit Lk,"1117	",Utah,SNOTEL,Daggett,10235,40.83868,-110.00527,"140401060501	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-3.5,18,10,1,Lowest,,,4.33,3.5,0,15,"2012, 2017, 2020",2009,12
Spratt Creek,"778	",California,SNOTEL,Alpine,6063,38.66627,-119.81741,"160502010107	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,81,5,1,Lowest,,,1.05,0,0,9,"2018, 2019, 2020, more",2004,22
Spring Creek,"2044	",Alaska,SCAN,Matanuska-Susitna,580,61.65722,-149.12853,"190204020709	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1,1,1,1,2018,2018,1
Spring Creek Divide,"779	",Wyoming,SNOTEL,Sublette,9000,42.52516,-110.66148,"140401011001	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,35,38,75,3,3,-5,17,16,3,,,,8.63,8,2,25,"2008, 2014",2004,19
Spruce Springs,"984	",Washington,SNOTEL,Garfield,5700,46.18287,-117.54155,"170601030201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,60,9,1,Lowest,,,0.81,0,0,6,"2016, 2018, 2020, more",2005,21
Spud Mountain,"780	",Colorado,SNOTEL,San Juan,10660,37.69866,-107.77715,"140801040202	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,33,100,50,1,1,0,56,8,7,,,,3,1,0,18,"2012, 2015, 2016, more",2004,17
Spur Park,"781	",Montana,SNOTEL,Judith Basin,8100,46.77962,-110.62165,"100401030301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",16,,,147,152,64,20,21,5.5,86,4,18,,,,10.86,10.5,1,22,2016,"2009, 2017",22
Spuzzum Creek,"1D19P	",British Columbia,Cooperator Snow Sensors,"	",3927,49.65,-121.65,"	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,4.76,1,0,39,"2014, 2016, 2019, more",2010,17
Squamish Upper,"3A25P	",British Columbia,Cooperator Snow Sensors,"	",4551,50.15,-123.43333,"	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,7.83,4,0,31,"2014, 2015, 2018, more",2004,18
Squaw Flat,"782	",Idaho,SNOTEL,Adams,6240,44.77091,-116.24805,"170501240401	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-2,39,12,1,Lowest,,,2.79,2,0,15,"2015, 2016, 2020, more",2017,19
Squaw Valley G.C.,"784	",California,SNOTEL,Placer,8013,39.18986,-120.26576,"160501020202	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-1,44,11,1,Lowest,,,5.84,1,0,31,"2018, 2019, 2020, more",2004,19
St. Lawrence Alt,"786	",Wyoming,SNOTEL,Fremont,8620,43.03313,-109.17025,"100800020105	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-1,44,10,1,Lowest,,,2.53,1,0,9,"2016, 2018, 2020, more","2009, 2017",17
Stag Mountain,"1203	",Nevada,SNOTEL,Elko,7640,41.408,-115.4464,"170501020101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.38,0,0,9,"2017, 2018, 2019, more",2015,8
Stahl Peak,"787	",Montana,SNOTEL,Lincoln,6030,48.90902,-114.86298,"170101010801	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",13,,,88,100,68,11,12,0,53,9,9,,,,14.83,13,1,33,2008,2013,18
Stampede Pass,"788	",Washington,SNOTEL,King,3850,47.27427,-121.34162,"171100130103	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.11,0,0,13,"2016, 2018, 2019, more",2005,18
Starr Ridge,"789	",Oregon,SNOTEL,Grant,5250,44.26423,-119.02162,"171200020102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.53,0,0,5,"2017, 2018, 2019, more",2005,15
State Line,"1258	",California,SNOTEL,Modoc,5680,41.98609,-120.71574,"180102040201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0,0,0,0,"2017, 2018, 2019, more","2017, 2018, 2019, more",6
State Line AM,"993	",California,SNOLITE,Modoc,5680,41.9869,-120.7151,"180102040201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,,,0,,,0,,1,1,,,,0,0,0,0,2020,2020,1
Steel Creek Park,"790	",Utah,SNOTEL,Summit,10158,40.90862,-110.50462,"140401070203	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-5,10,20,1,Lowest,,,6.64,5,0,17,"2005, 2017, 2020",2004,22
Stevens Pass,"791	",Washington,SNOTEL,King,3950,47.74607,-121.09288,"171100090102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,3,0,0,19,"2016, 2018, 2019, more",2005,17
Stickney Mill,"792	",Idaho,SNOTEL,Custer,7430,43.86117,-114.20902,"170402180303	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-0.5,43,5,1,Lowest,,,1.38,0.5,0,4,"2018, 2019, 2020, more","2013, 2017",8
Stillwater Creek,"793	",Colorado,SNOTEL,Grand,8720,40.22543,-105.91977,"140100010306	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.18,0,0,6,"2015, 2016, 2017, more",2006,17
Strawberry,"794	",Oregon,SNOTEL,Lake,5770,42.12587,-120.8361,"180102040501	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.62,0,0,11,"2016, 2018, 2019, more",2000,21
Strawberry Divide,"795	",Utah,SNOTEL,Wasatch,8123,40.16483,-111.20665,"140600040103	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,41,,50,2,2,1,65,7,12,,,,2.44,0,0,15,"2016, 2017, 2018, more",2003,18
Stringer Creek,"1009	",Montana,SNOTEL,Meagher,6550,46.9269,-110.90198,"100301030801	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",6,,,121,171,50,12,13,2.5,68,7,13,,,,4.95,3.5,0,18,"2011, 2014, 2016, more",2009,20
Stuart Mountain,"901	",Montana,SNOTEL,Missoula,7400,46.99523,-113.92664,"170102040102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",17,,,182,243,71,17,17,10,94,2,18,2nd Highest,,,9.32,7,3,20,2008,2017,19
Stump Lakes,"797	",Colorado,SNOTEL,San Juan,11200,37.47621,-107.63295,"140801040702	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,28,36,50,2,3,-3.5,26,15,6,,,,7.15,5.5,0,24,"2012, 2016",2000,20
Sucker Creek,"798	",Wyoming,SNOTEL,Sheridan,8880,44.7225,-107.40033,"100901010203	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",12,,,147,171,67,19,21,5,71,6,13,,,,8.17,7,0,19,"2014, 2015, 2016, more",2013,18
Sugarloaf Mtn,"1095	",Alaska,SNOTEL,Valdez-Cordova,550,61.081,-146.2995,"190202011101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,81,150,75,3,4,1,58,6,8,,,,3.69,2,0,15,"2014, 2015, 2016",2011,13
Summer Rim,"800	",Oregon,SNOTEL,Lake,7080,42.6957,-120.80158,"180102020103	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-1,35,12,1,Lowest,,,3.33,1,0,18,"2018, 2019, 2020, more",2004,18
Summit Creek,"955	",Alaska,SNOTEL,Kenai Peninsula,1400,60.61713,-149.53128,"190203020401	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,28,40,100,2,2,-1.5,35,12,5,,,,3.61,2.5,0,13,"2003, 2013, 2016, more",2004,18
Summit Lake,"801	",Oregon,SNOTEL,Klamath,5610,43.44907,-122.13808,"170703020203	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-2,29,11,1,Lowest,,,3.2,2,0,10,"2018, 2019, 2020, more",2008,15
Summit Lk,"1194	",Nevada,SNOTEL,Humboldt,7615,41.48953,-118.99663,"160402021301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-0.5,44,6,1,Lowest,,,1.5,0.5,0,5,"2018, 2019, 2020, more",2014,10
Summit Meadow,"1052	",California,SNOTEL,Alpine,9313,38.39747,-119.53522,"160503020203	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,71,6,1,Lowest,,,2.22,0,0,20,"2018, 2019, 2020, more",2004,18
Summit Ranch,"802	",Colorado,SNOTEL,Summit,9400,39.71796,-106.15802,"140100020502	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-1,38,11,1,Lowest,,,2.06,1,0,8,"2015, 2016, 2020, more","2006, 2019",17
Sun Pass,"1078	",Oregon,SNOTEL,Klamath,5400,42.78637,-121.97715,"180102010602	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,86,3,1,Lowest,,,0.53,0,0,7,"2018, 2019, 2020, more",2008,15
Sunflower Flat,"1249	",Utah,SNOTEL,Garfield,10018,38.048,-111.33981,"140700030406	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-0.5,43,5,1,Lowest,,,2,0.5,0,8,"2017, 2019, 2020, more",2018,8
